tweet,scores,tokens,length,absolutely_negative,very_negative,negative,neutral,positive,very_positive,perception
b'rt @mayelaabr: te odio cable onda',[ 0  0 -2 -2  0  0],"[""b'rt"", '@mayelaabr:', 'te', 'odio', 'cable', ""onda'""]",36.0,0.0,2.0,0.0,4.0,0.0,0.0,-2.0
"b'rt @alegrebengali: colombia patria m\xc3\xada, te llevo con amor en mi coraz\xc3\xb3n...\n\nfeliz d\xc3\xada de la independencia \xf0\x9f\x87\xa8\xf0\x9f\x87\xb4 https://t.co/ofmvsl1b28'",[ 0  0  0  0  0 -2  0  0  2  1 -3  0  0 -2 -1  0  0  0],"[""b'rt"", '@alegrebengali:', 'colombia', 'patria', 'm\\xc3\\xada,', 'te', 'llevo', 'con', 'amor', 'en', 'mi', 'coraz\\xc3\\xb3n...\\n\\nfeliz', 'd\\xc3\\xada', 'de', 'la', 'independencia', '\\xf0\\x9f\\x87\\xa8\\xf0\\x9f\\x87\\xb4', ""https://t.co/ofmvsl1b28'""]",188.0,2.0,4.0,2.0,8.0,2.0,2.0,2.0
"b'rt @joshuav_delgado: prueba de fuego para cable onda hoy que la mayor\xc3\xada de las escuelas p\xc3\xbablicas, privadas y universidades est\xc3\xa1n dando clas\xe2\x80\xa6'",[ 0  0  0 -2  0  0  0  0  0  0 -1  0 -2 -1  0  0  0  0  0  0  0  0],"[""b'rt"", '@joshuav_delgado:', 'prueba', 'de', 'fuego', 'para', 'cable', 'onda', 'hoy', 'que', 'la', 'mayor\\xc3\\xada', 'de', 'las', 'escuelas', 'p\\xc3\\xbablicas,', 'privadas', 'y', 'universidades', 'est\\xc3\\xa1n', 'dando', ""clas\\xe2\\x80\\xa6'""]",175.0,0.0,4.0,4.0,8.0,0.0,0.0,-2.0
b'rt @irene_domingz: la mejor declaraci\xc3\xb3n de amor que he visto nunca. https://t.co/lmxv1hw0ri',[ 0  0 -1  2  0 -2  2  0  2  0  0  0],"[""b'rt"", '@irene_domingz:', 'la', 'mejor', 'declaraci\\xc3\\xb3n', 'de', 'amor', 'que', 'he', 'visto', 'nunca.', ""https://t.co/lmxv1hw0ri'""]",101.0,0.0,2.0,2.0,8.0,0.0,6.0,2.0
b'@moisesssedwin cable onda',[0 0 0],"[""b'@moisesssedwin"", 'cable', ""onda'""]",28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
b'rt @lunaypr1: quiero tener un amor sin contrato \xf0\x9f\x96\xa4\xf0\x9f\x98\x88',[0 0 0 0 0 2 0 0 0],"[""b'rt"", '@lunaypr1:', 'quiero', 'tener', 'un', 'amor', 'sin', 'contrato', ""\\xf0\\x9f\\x96\\xa4\\xf0\\x9f\\x98\\x88'""]",83.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0
"b'rt @miguelangelowa1: @zulayrl una pregunta hd, hay o no hay moratoria. porque cable onda insiste en suspender el servicio de internet, es u\xe2\x80\xa6'",[ 0  0  0  0  0  0  0 -2 -1  0  0  0  0  0  0  1  0  2  0 -2  0 -2  0],"[""b'rt"", '@miguelangelowa1:', '@zulayrl', 'una', 'pregunta', 'hd,', 'hay', 'o', 'no', 'hay', 'moratoria.', 'porque', 'cable', 'onda', 'insiste', 'en', 'suspender', 'el', 'servicio', 'de', 'internet,', 'es', ""u\\xe2\\x80\\xa6'""]",154.0,0.0,6.0,2.0,12.0,2.0,2.0,-2.0
b'rt @rguezzale: encontrar amor y amistad en la misma persona es ganar en la vida.',[ 0  0  0  2  0  0  1 -1  0  0 -2  0  1 -1  0],"[""b'rt"", '@rguezzale:', 'encontrar', 'amor', 'y', 'amistad', 'en', 'la', 'misma', 'persona', 'es', 'ganar', 'en', 'la', ""vida.'""]",83.0,0.0,2.0,4.0,10.0,4.0,2.0,2.0
b'cable onda me tiene bien fkn harta\xf0\x9f\x98\xa1',[0 0 2 0 1 0 0],"[""b'cable"", 'onda', 'me', 'tiene', 'bien', 'fkn', ""harta\\xf0\\x9f\\x98\\xa1'""]",53.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0
b'rt @rguezzale: encontrar amor y amistad en la misma persona es ganar en la vida.',[ 0  0  0  2  0  0  1 -1  0  0 -2  0  1 -1  0],"[""b'rt"", '@rguezzale:', 'encontrar', 'amor', 'y', 'amistad', 'en', 'la', 'misma', 'persona', 'es', 'ganar', 'en', 'la', ""vida.'""]",83.0,0.0,2.0,4.0,10.0,4.0,2.0,2.0
"b'@zulayrl una pregunta hd, hay o no hay moratoria. porque cable onda insiste en suspender el servicio de internet, e\xe2\x80\xa6 https://t.co/uhn3bxgane'",[ 0  0  0  0  0 -2 -1  0  0  0  0  0  0  1  0  2  0 -2  0  0  0],"[""b'@zulayrl"", 'una', 'pregunta', 'hd,', 'hay', 'o', 'no', 'hay', 'moratoria.', 'porque', 'cable', 'onda', 'insiste', 'en', 'suspender', 'el', 'servicio', 'de', 'internet,', 'e\\xe2\\x80\\xa6', ""https://t.co/uhn3bxgane'""]",154.0,0.0,4.0,2.0,10.0,2.0,2.0,-2.0
"b'rt @ponchingarciajr: el amor llegar\xc3\xa1, ahorita conc\xc3\xa9ntrate en llenar tu cv.'",[0 0 2 2 0 0 0 1 0 0 0],"[""b'rt"", '@ponchingarciajr:', 'el', 'amor', 'llegar\\xc3\\xa1,', 'ahorita', 'conc\\xc3\\xa9ntrate', 'en', 'llenar', 'tu', ""cv.'""]",91.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0
b'rt @sdbardayan: me siento mal por los agentes del call center de cable onda que tienen que lidiar con los clientes frustrados; dar la cara\xe2\x80\xa6',"[ 0  0  2  0 -1  0 -1  0  0  0  0 -2  0  0  0  0  0  0  0 -1  0  0  0 -1
  0]","[""b'rt"", '@sdbardayan:', 'me', 'siento', 'mal', 'por', 'los', 'agentes', 'del', 'call', 'center', 'de', 'cable', 'onda', 'que', 'tienen', 'que', 'lidiar', 'con', 'los', 'clientes', 'frustrados;', 'dar', 'la', ""cara\\xe2\\x80\\xa6'""]",153.0,0.0,2.0,8.0,14.0,0.0,2.0,-2.0
